sample_id,instrument_id,instrument_type,date,test_type,duration_min,turnaround_hours,result,operator,product_family,manual_entry,automation_phase,downtime_flag,downtime_reason
S2024-00001,HPLC_01,HPLC,2024-01-01,Assay,35.5,29.5,pass,CF,Reagent_A,0,Before_Automation,0,
S2024-00002,HPLC_01,HPLC,2024-01-01,Weigh,38.8,27.8,pass,CF,Reagent_A,0,Before_Automation,0,
S2024-00003,HPLC_01,HPLC,2024-01-01,Assay,59.1,31.9,pass,DG,Media_X,0,Before_Automation,0,
S2024-00004,HPLC_01,HPLC,2024-01-01,pH Check,31.9,35.9,pass,AD,Reagent_B,1,Before_Automation,0,
S2024-00005,HPLC_01,HPLC,2024-01-01,Impurity,57.7,22.9,pass,CF,Media_X,0,Before_Automation,0,
S2024-00006,HPLC_01,HPLC,2024-01-01,Impurity,41.4,16.0,pass,BR,Reagent_A,1,Before_Automation,0,
S2024-00007,HPLC_02,HPLC,2024-01-01,Weigh,43.4,21.7,fail,AD,Media_Y,0,Before_Automation,0,
S2024-00008,HPLC_02,HPLC,2024-01-01,Assay,32.0,31.4,pass,AD,Media_X,0,Before_Automation,0,
S2024-00009,HPLC_02,HPLC,2024-01-01,Weigh,16.5,32.9,pass,AD,Reagent_A,0,Before_Automation,0,
S2024-00010,UV_01,UV_Spectrometer,2024-01-01,Assay,49.4,23.4,pass,BR,Reagent_B,0,Before_Automation,0,
S2024-00011,UV_01,UV_Spectrometer,2024-01-01,Assay,64.8,34.0,pass,CF,Media_Y,0,Before_Automation,0,
S2024-00012,UV_01,UV_Spectrometer,2024-01-01,Endotoxin,28.2,31.0,pass,DG,Media_X,0,Before_Automation,0,
S2024-00013,UV_01,UV_Spectrometer,2024-01-01,Weigh,61.3,24.5,pass,AD,Media_X,0,Before_Automation,0,
S2024-00014,UV_01,UV_Spectrometer,2024-01-01,pH Check,39.4,29.4,pass,EL,Media_Y,0,Before_Automation,0,
S2024-00015,BAL_01,Analytical_Balance,2024-01-01,Impurity,39.6,26.0,pass,EL,Media_X,0,Before_Automation,0,
S2024-00016,BAL_01,Analytical_Balance,2024-01-01,Assay,61.0,30.9,pass,DG,Media_Y,0,Before_Automation,0,
S2024-00017,BAL_01,Analytical_Balance,2024-01-01,Endotoxin,30.3,27.7,pass,EL,Media_Y,0,Before_Automation,0,
S2024-00018,BAL_01,Analytical_Balance,2024-01-01,Endotoxin,75.1,37.2,pass,DG,Media_X,1,Before_Automation,0,
S2024-00019,BAL_01,Analytical_Balance,2024-01-01,Endotoxin,35.7,25.3,pass,AD,Reagent_B,0,Before_Automation,0,
S2024-00020,PH_01,pH_Meter,2024-01-01,Assay,72.4,19.9,pass,DG,Media_X,1,Before_Automation,0,
S2024-00021,PH_01,pH_Meter,2024-01-01,Impurity,46.7,33.7,pass,CF,Media_X,0,Before_Automation,0,
S2024-00022,PH_01,pH_Meter,2024-01-01,Endotoxin,56.4,32.5,pass,DG,Reagent_A,0,Before_Automation,0,
S2024-00023,PH_01,pH_Meter,2024-01-01,Weigh,31.0,24.5,pass,DG,Media_X,1,Before_Automation,0,
S2024-00024,PH_01,pH_Meter,2024-01-01,Assay,55.7,31.6,pass,BR,Reagent_A,0,Before_Automation,0,
S2024-00025,HPLC_01,HPLC,2024-01-02,pH Check,25.2,20.6,pass,AD,Media_X,1,Before_Automation,0,
S2024-00026,HPLC_01,HPLC,2024-01-02,Impurity,52.8,27.3,pass,DG,Reagent_A,0,Before_Automation,0,
S2024-00027,HPLC_01,HPLC,2024-01-02,pH Check,45.3,29.0,pass,DG,Reagent_B,0,Before_Automation,0,
S2024-00028,HPLC_01,HPLC,2024-01-02,Endotoxin,54.3,25.5,pass,DG,Reagent_B,0,Before_Automation,0,
S2024-00029,HPLC_02,HPLC,2024-01-02,Impurity,50.6,37.4,pass,EL,Media_Y,0,Before_Automation,0,
S2024-00030,HPLC_02,HPLC,2024-01-02,Weigh,39.5,30.7,pass,DG,Reagent_A,0,Before_Automation,0,
S2024-00031,UV_01,UV_Spectrometer,2024-01-02,Assay,47.5,29.9,pass,BR,Media_Y,0,Before_Automation,0,
S2024-00032,UV_01,UV_Spectrometer,2024-01-02,Impurity,47.8,13.8,pass,AD,Media_X,1,Before_Automation,0,
S2024-00033,BAL_01,Analytical_Balance,2024-01-02,pH Check,49.3,30.0,pass,CF,Media_Y,1,Before_Automation,0,
S2024-00034,BAL_01,Analytical_Balance,2024-01-02,Weigh,52.6,29.8,pass,AD,Reagent_A,0,Before_Automation,0,
S2024-00035,BAL_01,Analytical_Balance,2024-01-02,Endotoxin,36.7,33.0,pass,AD,Media_X,0,Before_Automation,0,
S2024-00036,BAL_01,Analytical_Balance,2024-01-02,Assay,27.1,28.2,fail,AD,Media_Y,0,Before_Automation,0,
S2024-00037,BAL_01,Analytical_Balance,2024-01-02,Assay,45.2,21.3,pass,EL,Media_Y,0,Before_Automation,0,
S2024-00038,PH_01,pH_Meter,2024-01-02,Assay,52.8,19.0,pass,EL,Media_Y,0,Before_Automation,0,
S2024-00039,PH_01,pH_Meter,2024-01-02,Assay,57.7,22.9,pass,CF,Media_X,0,Before_Automation,0,
S2024-00040,LUM_01,Luminometer,2024-01-02,Weigh,41.8,30.2,pass,AD,Media_X,1,Before_Automation,0,
S2024-00041,LUM_01,Luminometer,2024-01-02,Weigh,44.0,29.4,pass,CF,Reagent_A,1,Before_Automation,0,
S2024-00042,LUM_01,Luminometer,2024-01-02,Impurity,77.8,36.9,pass,DG,Reagent_A,0,Before_Automation,0,
S2024-00043,LUM_01,Luminometer,2024-01-02,Impurity,27.2,35.1,pass,CF,Reagent_B,0,Before_Automation,0,
S2024-00044,HPLC_01,HPLC,2024-01-03,Assay,20.7,23.7,pass,AD,Media_Y,1,Before_Automation,0,
S2024-00045,HPLC_01,HPLC,2024-01-03,Endotoxin,48.3,32.7,pass,CF,Reagent_B,0,Before_Automation,0,
S2024-00046,HPLC_02,HPLC,2024-01-03,pH Check,62.7,22.9,pass,DG,Media_X,1,Before_Automation,0,
S2024-00047,HPLC_02,HPLC,2024-01-03,Impurity,27.5,24.1,pass,EL,Media_X,0,Before_Automation,0,
S2024-00048,HPLC_02,HPLC,2024-01-03,Endotoxin,23.7,27.7,pass,AD,Reagent_B,1,Before_Automation,0,
S2024-00049,UV_01,UV_Spectrometer,2024-01-03,Endotoxin,18.1,33.5,pass,DG,Media_Y,0,Before_Automation,0,
S2024-00050,UV_01,UV_Spectrometer,2024-01-03,Assay,47.2,34.1,pass,BR,Media_Y,0,Before_Automation,0,
S2024-00051,BAL_01,Analytical_Balance,2024-01-03,Assay,41.5,26.7,pass,CF,Media_Y,0,Before_Automation,0,
S2024-00052,BAL_01,Analytical_Balance,2024-01-03,Weigh,33.6,23.3,pass,CF,Media_Y,0,Before_Automation,0,
S2024-00053,BAL_01,Analytical_Balance,2024-01-03,Assay,52.3,27.9,pass,BR,Media_X,1,Before_Automation,0,
S2024-00054,BAL_01,Analytical_Balance,2024-01-03,Endotoxin,42.3,32.2,pass,EL,Reagent_B,1,Before_Automation,0,
